claim_id,status,blocked,claim_text_short,remaining_work,blocker_reference
C01,READY,False,"At train_40k the fusion features give a real accuracy gain over concatenation, but capacity explains part of i",none; the evidence is correct as it stands,
C02,READY_AFTER_CPU_STATS,True,The fusion advantage over concatenation is largest in the lower-data regime and narrows as the training set gr,"the point estimates are frozen and correct, but the evaluation-sampling interval requires the deterministic CPU recomputation, which was attempted and stopped by the recorded reproduction mismatch",results/closure/C_reconstructed_evidence_manifest.json blockers[0]: v2_07 point-estimate reproduction mismatch
C03,READY,False,Either interaction term alone recovers most of the fusion gain at an equal parameter budget; the product and a,none; the evidence is correct as it stands,
C04,READY,False,The multimodal heads depend on the correct image: replacing it with another development image or with zeros co,none; the evidence is correct as it stands,
C05,READY,False,A frozen SigLIP-B/16 encoder outperforms frozen CLIP ViT-B/32 on the same global-embedding heads at train_40k.,none; the evidence is correct as it stands,
C06,READY,False,"A pooled deficit at four or more reasoning steps persists across both frozen encoders, across scales and acros",none; the evidence is correct as it stands,
C07,READY,False,The lightweight question-conditioned latent-query reasoner over token-level visual features does not materiall,none; the evidence is correct as it stands,
C08,READY,False,"On the question side, a frozen pretrained SmolLM2-135M encoder beats its architecture-matched random control.",none; the evidence is correct as it stands,
C09,READY,False,The frozen CLIP text tower (A0p) outperforms the frozen SmolLM2-135M question encoder (A1) on this task.,none; the evidence is correct as it stands,
C10,READY,False,"On the answer side, this frozen-SLM readout interface shows no reliable positive pretrained-over-random advant",none; the evidence is correct as it stands,
C11,READY,False,"Moving the answer-side frozen language model from 135M to 360M does not change the pretraining conclusion, and",none; the evidence is correct as it stands,
C12,READY,False,Growing the closed answer set from 100 to 1000 raises development coverage from 0.7711 to 0.9819 and raises ra,none; the evidence is correct as it stands,
C13,READY,False,A small global-embedding head reaches comparable raw-distribution accuracy to far larger systems at a small fr,none; the evidence is correct as it stands,
C14,READY,False,A frozen compact integrated VLM can be placed in context against these lightweight systems.,none; the evidence is correct as it stands,
C15,READY,False,This project makes no claim of general vision-language reasoning.,none; the evidence is correct as it stands,
C16,NOT_SUPPORTED,False,PROHIBITED: no claim that any system here is energy-efficient.,none permitted; this row records a prohibition,
C17,NOT_SUPPORTED,False,"PROHIBITED: no merged cross-node efficiency frontier, and no equivalence claim from an interval that includes ",none permitted; this row records a prohibition,
O01,OPTIONAL_EVALUATION_ONLY,False,E10 B4/B4r serial latency and memory,"an accuracy-latency point for the 360M answer-side family, which currently has no timing evidence at all",
O02,OPTIONAL_EVALUATION_ONLY,False,single-node re-measurement of the E7b otter155 systems on otter159,resolving the -18.69 per cent bridge failure and permitting ONE merged frontier instead of two,
O03,OPTIONAL_EVALUATION_ONLY,False,E8B R1 serial latency under a batch-1-appropriate scorer,"a serial cost for E8B's canonical R1 readout, which is currently excluded by design",
S01,SUPERSEDED,False,v2_05b row-level normal-approximation intervals,none; superseded by v2_05c image-clustered intervals and never re-quoted,
