slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
v2_06/concat/train_40k/structural:choose/drop_shuffled,v2_06,concat,40k,structural,structural:choose,drop_shuffled on the structural slice choose,v2_closed_vocab_top1_index_match,0.11536,"[0.08367, 0.14685]",1042,465,NOT_APPLICABLE,EV-SLC-v2_06.concat.train_40k.structural-choose.drop_shuffled
v2_06/concat/train_40k/structural:choose/drop_zeroed,v2_06,concat,40k,structural,structural:choose,drop_zeroed on the structural slice choose,v2_closed_vocab_top1_index_match,0.07351,"[0.04616, 0.10112]",1042,465,NOT_APPLICABLE,EV-SLC-v2_06.concat.train_40k.structural-choose.drop_zeroed
v2_06/concat/train_40k/structural:compare/drop_shuffled,v2_06,concat,40k,structural,structural:compare,drop_shuffled on the structural slice compare,v2_closed_vocab_top1_index_match,0.01060,"[-0.03542, 0.05856]",302,226,NOT_APPLICABLE,EV-SLC-v2_06.concat.train_40k.structural-compare.drop_shuffled
v2_06/concat/train_40k/structural:compare/drop_zeroed,v2_06,concat,40k,structural,structural:compare,drop_zeroed on the structural slice compare,v2_closed_vocab_top1_index_match,0.02318,"[-0.01534, 0.06195]",302,226,NOT_APPLICABLE,EV-SLC-v2_06.concat.train_40k.structural-compare.drop_zeroed
v2_06/concat/train_40k/structural:logical/drop_shuffled,v2_06,concat,40k,structural,structural:logical,drop_shuffled on the structural slice logical,v2_closed_vocab_top1_index_match,0.03366,"[0.00858, 0.06013]",1236,561,NOT_APPLICABLE,EV-SLC-v2_06.concat.train_40k.structural-logical.drop_shuffled
v2_06/concat/train_40k/structural:logical/drop_zeroed,v2_06,concat,40k,structural,structural:logical,drop_zeroed on the structural slice logical,v2_closed_vocab_top1_index_match,0.01796,"[-0.00245, 0.03945]",1236,561,NOT_APPLICABLE,EV-SLC-v2_06.concat.train_40k.structural-logical.drop_zeroed
v2_06/concat/train_40k/structural:query/drop_shuffled,v2_06,concat,40k,structural,structural:query,drop_shuffled on the structural slice query,v2_closed_vocab_top1_index_match,0.22610,"[0.20096, 0.25104]",3104,687,NOT_APPLICABLE,EV-SLC-v2_06.concat.train_40k.structural-query.drop_shuffled
v2_06/concat/train_40k/structural:query/drop_zeroed,v2_06,concat,40k,structural,structural:query,drop_zeroed on the structural slice query,v2_closed_vocab_top1_index_match,0.18428,"[0.16038, 0.20926]",3104,687,NOT_APPLICABLE,EV-SLC-v2_06.concat.train_40k.structural-query.drop_zeroed
v2_06/concat/train_40k/structural:verify/drop_shuffled,v2_06,concat,40k,structural,structural:verify,drop_shuffled on the structural slice verify,v2_closed_vocab_top1_index_match,0.01793,"[-0.00046, 0.03533]",2030,615,NOT_APPLICABLE,EV-SLC-v2_06.concat.train_40k.structural-verify.drop_shuffled
v2_06/concat/train_40k/structural:verify/drop_zeroed,v2_06,concat,40k,structural,structural:verify,drop_zeroed on the structural slice verify,v2_closed_vocab_top1_index_match,0.04562,"[0.02907, 0.06133]",2030,615,NOT_APPLICABLE,EV-SLC-v2_06.concat.train_40k.structural-verify.drop_zeroed
