slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
v2_02/concat/train_40k/semantic:attr/accuracy,v2_02,concat,40k,semantic,semantic:attr,accuracy on the semantic slice attr,v2_closed_vocab_top1_index_match,0.46120,"[0.44560, 0.47637]",2964,691,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.semantic-attr.accuracy
v2_02/concat/train_40k/semantic:cat/accuracy,v2_02,concat,40k,semantic,semantic:cat,accuracy on the semantic slice cat,v2_closed_vocab_top1_index_match,0.56583,"[0.50914, 0.61781]",439,219,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.semantic-cat.accuracy
v2_02/concat/train_40k/semantic:global/accuracy,v2_02,concat,40k,semantic,semantic:global,accuracy on the semantic slice global,v2_closed_vocab_top1_index_match,0.80736,"[0.75404, 0.85750]",163,133,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.semantic-global.accuracy
v2_02/concat/train_40k/semantic:obj/accuracy,v2_02,concat,40k,semantic,semantic:obj,accuracy on the semantic slice obj,v2_closed_vocab_top1_index_match,0.59846,"[0.57540, 0.62234]",1170,547,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.semantic-obj.accuracy
v2_02/concat/train_40k/semantic:rel/accuracy,v2_02,concat,40k,semantic,semantic:rel,accuracy on the semantic slice rel,v2_closed_vocab_top1_index_match,0.53553,"[0.51452, 0.55627]",2978,570,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.semantic-rel.accuracy
v2_02/fusion/train_40k/semantic:attr/accuracy,v2_02,fusion,40k,semantic,semantic:attr,accuracy on the semantic slice attr,v2_closed_vocab_top1_index_match,0.46444,"[0.44697, 0.48159]",2964,691,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.semantic-attr.accuracy
v2_02/fusion/train_40k/semantic:cat/accuracy,v2_02,fusion,40k,semantic,semantic:cat,accuracy on the semantic slice cat,v2_closed_vocab_top1_index_match,0.56355,"[0.51162, 0.61340]",439,219,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.semantic-cat.accuracy
v2_02/fusion/train_40k/semantic:global/accuracy,v2_02,fusion,40k,semantic,semantic:global,accuracy on the semantic slice global,v2_closed_vocab_top1_index_match,0.80123,"[0.74267, 0.85522]",163,133,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.semantic-global.accuracy
v2_02/fusion/train_40k/semantic:obj/accuracy,v2_02,fusion,40k,semantic,semantic:obj,accuracy on the semantic slice obj,v2_closed_vocab_top1_index_match,0.64103,"[0.61682, 0.66633]",1170,547,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.semantic-obj.accuracy
v2_02/fusion/train_40k/semantic:rel/accuracy,v2_02,fusion,40k,semantic,semantic:rel,accuracy on the semantic slice rel,v2_closed_vocab_top1_index_match,0.55359,"[0.53251, 0.57507]",2978,570,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.semantic-rel.accuracy
