slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
v2_05c/fusion_minus_concat/train_40k/semantic:attr/five_seed,v2_05c,fusion minus concat,40k,semantic,semantic:attr,paired accuracy gap on the semantic slice attr,v2_closed_vocab_top1_index_match,0.00324,"[-0.00762, 0.01441]",2964,691,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.semantic-attr.five_seed
v2_05c/fusion_minus_concat/train_40k/semantic:cat/five_seed,v2_05c,fusion minus concat,40k,semantic,semantic:cat,paired accuracy gap on the semantic slice cat,v2_closed_vocab_top1_index_match,-0.00228,"[-0.01639, 0.01264]",439,219,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.semantic-cat.five_seed
v2_05c/fusion_minus_concat/train_40k/semantic:global/five_seed,v2_05c,fusion minus concat,40k,semantic,semantic:global,paired accuracy gap on the semantic slice global,v2_closed_vocab_top1_index_match,-0.00613,"[-0.03558, 0.02099]",163,133,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.semantic-global.five_seed
v2_05c/fusion_minus_concat/train_40k/semantic:obj/five_seed,v2_05c,fusion minus concat,40k,semantic,semantic:obj,paired accuracy gap on the semantic slice obj,v2_closed_vocab_top1_index_match,0.04257,"[0.02300, 0.06247]",1170,547,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.semantic-obj.five_seed
v2_05c/fusion_minus_concat/train_40k/semantic:rel/five_seed,v2_05c,fusion minus concat,40k,semantic,semantic:rel,paired accuracy gap on the semantic slice rel,v2_closed_vocab_top1_index_match,0.01806,"[0.00921, 0.02780]",2978,570,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.semantic-rel.five_seed
v2_05c/fusion_minus_concat/train_40k/steps:3/five_seed,v2_05c,fusion minus concat,40k,program length,steps:3,paired accuracy gap on the steps slice 3,v2_closed_vocab_top1_index_match,-0.00246,"[-0.01163, 0.00644]",3330,658,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.steps-3.five_seed
v2_05c/fusion_minus_concat/train_40k/steps:4/five_seed,v2_05c,fusion minus concat,40k,program length,steps:4,paired accuracy gap on the steps slice 4,v2_closed_vocab_top1_index_match,0.02966,"[0.00912, 0.05049]",870,396,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.steps-4.five_seed
v2_05c/fusion_minus_concat/train_40k/steps:>=5/five_seed,v2_05c,fusion minus concat,40k,program length,steps: at least 5,paired accuracy gap on the steps slice at least 5,v2_closed_vocab_top1_index_match,0.03932,"[0.01872, 0.05975]",1114,531,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.steps-ge5.five_seed
v2_05c/fusion_minus_concat/train_40k/steps:<=2/five_seed,v2_05c,fusion minus concat,40k,program length,steps: at most 2,paired accuracy gap on the steps slice at most 2,v2_closed_vocab_top1_index_match,0.02075,"[0.00876, 0.03247]",2400,674,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.steps-le2.five_seed
v2_05c/fusion_minus_concat/train_40k/structural:choose/five_seed,v2_05c,fusion minus concat,40k,structural,structural:choose,paired accuracy gap on the structural slice choose,v2_closed_vocab_top1_index_match,-0.02303,"[-0.03669, -0.00954]",1042,465,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.structural-choose.five_seed
v2_05c/fusion_minus_concat/train_40k/structural:compare/five_seed,v2_05c,fusion minus concat,40k,structural,structural:compare,paired accuracy gap on the structural slice compare,v2_closed_vocab_top1_index_match,-0.02517,"[-0.06598, 0.01355]",302,226,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.structural-compare.five_seed
v2_05c/fusion_minus_concat/train_40k/structural:logical/five_seed,v2_05c,fusion minus concat,40k,structural,structural:logical,paired accuracy gap on the structural slice logical,v2_closed_vocab_top1_index_match,0.03802,"[0.01687, 0.05815]",1236,561,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.structural-logical.five_seed
v2_05c/fusion_minus_concat/train_40k/structural:query/five_seed,v2_05c,fusion minus concat,40k,structural,structural:query,paired accuracy gap on the structural slice query,v2_closed_vocab_top1_index_match,0.00064,"[-0.00711, 0.00810]",3104,687,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.structural-query.five_seed
v2_05c/fusion_minus_concat/train_40k/structural:verify/five_seed,v2_05c,fusion minus concat,40k,structural,structural:verify,paired accuracy gap on the structural slice verify,v2_closed_vocab_top1_index_match,0.04621,"[0.03236, 0.06034]",2030,615,NOT_APPLICABLE,EV-SLC-v2_05c.fusion_minus_concat.train_40k.structural-verify.five_seed
