row_key,system_id,experiment_family,node,hardware,timing_kind,comparable_with_end_to_end,comparability_class,accuracy_raw_distribution_common_denominator,accuracy_vocabulary_supported,trainable_parameters,total_loaded_parameters,checkpoint_footprint_bytes,warm_serial_median_ms,across_pass_spread_ms,cached_image_question_side_ms,cached_feature_head_only_ms,throughput_qps,peak_allocated_mib,peak_reserved_mib,training_gpu_hours,evaluation_gpu_hours,precision,batch_size,timing_methodology,evidence_status,source_artefact
E7a::e7a_additive_pipeline_sums,e7a_additive_pipeline_sums,E7a,otter (E7a session),NVIDIA RTX 4000 Ada Generation,ADDITIVE_COMPONENT_SUM_SUPERSEDED,False,superseded additive sums,,,,,,,,,,,,,,,fp32 inference,1,"sum of separately measured components, not a measured serial query",SUPERSEDED_FOR_END_TO_END_CLAIMS,results/experiments/e7a_efficiency/results.json
E7a::e7a_component_measurements,e7a_component_measurements,E7a,otter (E7a session),NVIDIA RTX 4000 Ada Generation,COMPONENT,False,component measurements,,,,,,,,,,,,,,,fp32 inference,1,"tower and head timings, CPU decode and tokenise terms and memory deltas, each measured in isolation",VERIFIED_AS_COMPONENTS,results/experiments/e7a_efficiency/results.json
E7b::concat,concat,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E7b/otter155 serial,0.44462,0.57661,576100,151853413,,7.6104,0.9044,1.9133,0.0271,131.4,764.1,852.0,,,fp32 inference,1,"warm median over a fixed serial sample, three passes, per-pass medians and across-pass spread reported",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::concat::cached_feature_head_only,concat::cached_feature_head_only,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_FEATURE_HEAD_ONLY,False,E7b/otter155 cached_feature_head_only,0.44462,0.57661,576100,151853413,,,,,0.0271,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::concat::cached_image_question_side,concat::cached_image_question_side,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_IMAGE_QUESTION_SIDE,False,E7b/otter155 cached_image_question_side,0.44462,0.57661,576100,151853413,,,,1.9133,,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::e8a_a0p,e8a_a0p,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E7b/otter155 serial,0.45852,0.59463,21362276,172639589,,9.2117,0.1367,3.3289,1.3279,108.6,843.6,952.0,,,fp32 inference,1,"warm median over a fixed serial sample, three passes, per-pass medians and across-pass spread reported",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::e8a_a0p::cached_feature_head_only,e8a_a0p::cached_feature_head_only,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_FEATURE_HEAD_ONLY,False,E7b/otter155 cached_feature_head_only,0.45852,0.59463,21362276,172639589,,,,,1.3279,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::e8a_a0p::cached_image_question_side,e8a_a0p::cached_image_question_side,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_IMAGE_QUESTION_SIDE,False,E7b/otter155 cached_image_question_side,0.45852,0.59463,21362276,172639589,,,,3.3289,,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::e8a_a1,e8a_a1,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,END_TO_END_SERIAL,True,E7b/otter155 serial,0.44332,0.57493,21395044,307187365,,20.146,1.3302,13.6346,1.4354,49.6,1108.3,1176.0,,,fp32 inference,1,"warm median over a fixed serial sample, three passes, per-pass medians and across-pass spread reported",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
E7b::e8a_a1::cached_feature_head_only,e8a_a1::cached_feature_head_only,E7b,otter155.eps.surrey.ac.uk,NVIDIA RTX 4000 Ada Generation,CACHED_FEATURE_HEAD_ONLY,False,E7b/otter155 cached_feature_head_only,0.44332,0.57493,21395044,307187365,,,,,1.4354,,,,,,fp32 inference,1,"warm median, features pre-cached",VERIFIED,results/experiments/e7b_serial_efficiency/e7b_results.json
