arm,interface side,language model,pretrained or random,training scale,seeds,mean accuracy,"sd (training seeds, ddof=1)",per-seed values,high dispersion,evidence id
B4,answer side,"SmolLM2-360M, pretrained",pretrained,250k,"0, 1, 2",0.59407,0.00830,not bound in VE-0,no,EV-SEED-E10.B4.train_250k
B4,answer side,"SmolLM2-360M, pretrained",pretrained,40k,"0, 1, 2",0.52636,0.00465,not bound in VE-0,no,EV-SEED-E10.B4.train_40k
B4r,answer side,"SmolLM2-360M, random",random,250k,"0, 1, 2",0.59645,0.00343,not bound in VE-0,no,EV-SEED-E10.B4r.train_250k
B4r,answer side,"SmolLM2-360M, random",random,40k,"0, 1, 2",0.53319,0.00474,not bound in VE-0,no,EV-SEED-E10.B4r.train_40k
A0p,question side (CLIP reference),none (frozen CLIP text tower),not applicable,250k,"0, 1, 2",0.59446,0.00030,not bound in VE-0,no,EV-SEED-E8A.A0p.train_250k
A0p,question side (CLIP reference),none (frozen CLIP text tower),not applicable,40k,"0, 1, 2",0.54044,0.00438,not bound in VE-0,no,EV-SEED-E8A.A0p.train_40k
A1,question side,"SmolLM2-135M, pretrained",pretrained,250k,"0, 1, 2",0.57316,0.00153,not bound in VE-0,no,EV-SEED-E8A.A1.train_250k
A1,question side,"SmolLM2-135M, pretrained",pretrained,40k,"0, 1, 2",0.52861,0.00296,not bound in VE-0,no,EV-SEED-E8A.A1.train_40k
A1r,question side,"SmolLM2-135M, random",random,250k,"0, 1, 2",0.52480,0.00487,not bound in VE-0,no,EV-SEED-E8A.A1r.train_250k
A1r,question side,"SmolLM2-135M, random",random,40k,"0, 1, 2",0.49041,0.00259,not bound in VE-0,no,EV-SEED-E8A.A1r.train_40k
B1,answer side (no language model),none (lightweight classifier readout),not applicable,250k,"0, 1, 2",0.59394,0.00486,not bound in VE-0,no,EV-SEED-E8B.B1.train_250k
B1,answer side (no language model),none (lightweight classifier readout),not applicable,40k,"0, 1, 2",0.54507,0.00390,not bound in VE-0,no,EV-SEED-E8B.B1.train_40k
B2,answer side,"SmolLM2-135M, random",random,250k,"0, 1, 2",0.60086,0.00528,not bound in VE-0,no,EV-SEED-E8B.B2.train_250k
B2,answer side,"SmolLM2-135M, random",random,40k,"0, 1, 2",0.53392,0.00233,not bound in VE-0,no,EV-SEED-E8B.B2.train_40k
B3,answer side,"SmolLM2-135M, pretrained",pretrained,250k,"0, 1, 2",0.59610,0.00270,not bound in VE-0,no,EV-SEED-E8B.B3.train_250k
B3,answer side,"SmolLM2-135M, pretrained",pretrained,40k,"0, 1, 2",0.50929,0.02795,not bound in VE-0,yes (dagger),EV-SEED-E8B.B3.train_40k
