kind,slice,n,gap_mean,gap_std,gap_min,gap_max,positive_in_all_seeds,negative_in_all_seeds
structural,verify,2030,0.04621,0.00854,0.03744,0.05961,True,False
structural,query,3104,0.00064,0.00446,-0.00419,0.00612,False,False
structural,choose,1042,-0.02303,0.01056,-0.03551,-0.0144,False,True
structural,logical,1236,0.03802,0.00763,0.02508,0.04531,True,False
structural,compare,302,-0.02517,0.02229,-0.04636,0.00331,False,False
semantic,obj,1170,0.04257,0.00945,0.03077,0.05556,True,False
semantic,attr,2964,0.00324,0.00452,-0.00439,0.00709,False,False
semantic,cat,439,-0.00228,0.00483,-0.00683,0.00456,False,False
semantic,rel,2978,0.01806,0.00548,0.01007,0.02552,True,False
semantic,global,163,-0.00613,0.01891,-0.03067,0.0184,False,False
steps,<=2,2400,0.02075,0.00669,0.01042,0.02833,True,False
steps,3,3330,-0.00246,0.00461,-0.00721,0.0048,False,False
steps,4,870,0.02966,0.00946,0.01609,0.04023,True,False
steps,>=5,1114,0.03932,0.0063,0.02962,0.04488,True,False
