contrast id,family,metric,analysis role,comparison class,effect,95% CI (image-clustered),excludes zero,n questions,n images,training seeds,checkpoint selection,evidence id
E10/difference_in_differences,E10,g21_pinned_normalised_exact_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.00445,"[-0.00709, 0.01641]",false,7714,768,3,FIXED_EPOCH_22,EV-CON-E10.difference_in_differences
E10/pretraining_effect/train_250k,E10,g21_pinned_normalised_exact_match,PRIMARY,CLEAN_PAIRED_CONTROL,-0.00238,"[-0.01071, 0.00588]",false,7714,768,3,FIXED_EPOCH_22,EV-CON-E10.pretraining_effect.train_250k
E10/pretraining_effect/train_40k,E10,g21_pinned_normalised_exact_match,PRIMARY,CLEAN_PAIRED_CONTROL,-0.00683,"[-0.01508, 0.00114]",false,7714,768,3,FIXED_EPOCH_22,EV-CON-E10.pretraining_effect.train_40k
E10/scale_effect_B4,E10,g21_pinned_normalised_exact_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.06771,"[0.05800, 0.07738]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E10.scale_effect_B4
E10/scale_effect_B4r,E10,g21_pinned_normalised_exact_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.06326,"[0.05287, 0.07296]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E10.scale_effect_B4r
E8A/A0p_minus_A1r/train_250k,E8A,g21_pinned_normalised_exact_match,SECONDARY,SYSTEM_LEVEL_COMPARISON,0.06966,"[0.05951, 0.07920]",true,7714,768,3,BEST_ON_DEVELOPMENT,EV-CON-E8A.A0p_minus_A1r.train_250k
E8A/A0p_minus_A1r/train_40k,E8A,g21_pinned_normalised_exact_match,SECONDARY,SYSTEM_LEVEL_COMPARISON,0.05004,"[0.04144, 0.05864]",true,7714,768,3,BEST_ON_DEVELOPMENT,EV-CON-E8A.A0p_minus_A1r.train_40k
E8A/A1_minus_A0p/train_250k,E8A,g21_pinned_normalised_exact_match,SECONDARY,REPRESENTATION_CONFOUNDED,-0.02130,"[-0.02983, -0.01253]",true,7714,768,3,BEST_ON_DEVELOPMENT,EV-CON-E8A.A1_minus_A0p.train_250k
E8A/A1_minus_A0p/train_40k,E8A,g21_pinned_normalised_exact_match,SECONDARY,REPRESENTATION_CONFOUNDED,-0.01184,"[-0.01996, -0.00427]",true,7714,768,3,BEST_ON_DEVELOPMENT,EV-CON-E8A.A1_minus_A0p.train_40k
E8A/A1_minus_A1r/train_250k,E8A,g21_pinned_normalised_exact_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.04835,"[0.03935, 0.05803]",true,7714,768,3,BEST_ON_DEVELOPMENT,EV-CON-E8A.A1_minus_A1r.train_250k
E8A/A1_minus_A1r/train_40k,E8A,g21_pinned_normalised_exact_match,PRIMARY,CLEAN_PAIRED_CONTROL,0.03820,"[0.02947, 0.04680]",true,7714,768,3,BEST_ON_DEVELOPMENT,EV-CON-E8A.A1_minus_A1r.train_40k
E8B/B2 - B1/train_250k,E8B,g21_pinned_normalised_exact_match,SECONDARY,SYSTEM_LEVEL_COMPARISON,0.00691,"[-0.00112, 0.01491]",false,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.B2_-_B1.train_250k
E8B/B2 - B1/train_40k,E8B,g21_pinned_normalised_exact_match,SECONDARY,SYSTEM_LEVEL_COMPARISON,-0.01115,"[-0.01965, -0.00299]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.B2_-_B1.train_40k
E8B/B3 - B1/train_250k,E8B,g21_pinned_normalised_exact_match,SECONDARY,SYSTEM_LEVEL_COMPARISON,0.00216,"[-0.00511, 0.00952]",false,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.B3_-_B1.train_250k
E8B/B3 - B1/train_40k,E8B,g21_pinned_normalised_exact_match,SECONDARY,SYSTEM_LEVEL_COMPARISON,-0.03578,"[-0.04420, -0.02749]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.B3_-_B1.train_40k
E8B/B3 - B2/train_250k,E8B,g21_pinned_normalised_exact_match,PRIMARY,CLEAN_PAIRED_CONTROL,-0.00475,"[-0.01208, 0.00297]",false,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.B3_-_B2.train_250k
E8B/B3 - B2/train_40k,E8B,g21_pinned_normalised_exact_match,PRIMARY,CLEAN_PAIRED_CONTROL,-0.02463,"[-0.03333, -0.01619]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.B3_-_B2.train_40k
E8B/image_reliance/B1/train_250k,E8B,g21_pinned_normalised_exact_match,SECONDARY,CLEAN_PAIRED_CONTROL,0.11752,"[0.10654, 0.12915]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.image_reliance.B1.train_250k
E8B/image_reliance/B1/train_40k,E8B,g21_pinned_normalised_exact_match,SECONDARY,CLEAN_PAIRED_CONTROL,0.09166,"[0.08153, 0.10227]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.image_reliance.B1.train_40k
E8B/image_reliance/B2/train_250k,E8B,g21_pinned_normalised_exact_match,SECONDARY,CLEAN_PAIRED_CONTROL,0.12598,"[0.11477, 0.13750]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.image_reliance.B2.train_250k
E8B/image_reliance/B2/train_40k,E8B,g21_pinned_normalised_exact_match,SECONDARY,CLEAN_PAIRED_CONTROL,0.08610,"[0.07515, 0.09776]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.image_reliance.B2.train_40k
E8B/image_reliance/B3/train_250k,E8B,g21_pinned_normalised_exact_match,SECONDARY,CLEAN_PAIRED_CONTROL,0.12275,"[0.11146, 0.13443]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.image_reliance.B3.train_250k
E8B/image_reliance/B3/train_40k,E8B,g21_pinned_normalised_exact_match,SECONDARY,CLEAN_PAIRED_CONTROL,0.08443,"[0.07447, 0.09506]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.image_reliance.B3.train_40k
E8B/scale_effect_B1,E8B,g21_pinned_normalised_exact_match,SECONDARY,CLEAN_PAIRED_CONTROL,0.04887,"[0.03943, 0.05801]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.scale_effect_B1
E8B/scale_effect_B2,E8B,g21_pinned_normalised_exact_match,SECONDARY,CLEAN_PAIRED_CONTROL,0.06693,"[0.05683, 0.07633]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.scale_effect_B2
E8B/scale_effect_B3,E8B,g21_pinned_normalised_exact_match,SECONDARY,CLEAN_PAIRED_CONTROL,0.08681,"[0.07781, 0.09640]",true,7714,768,3,FIXED_EPOCH_22,EV-CON-E8B.scale_effect_B3
e2/concat_minus_question_only/train_250k,e2,v2_closed_vocab_top1_index_match,SECONDARY,CAPACITY_CONFOUNDED,0.08940,"[0.07692, 0.10131]",true,7714,768,5,BEST_ON_DEVELOPMENT,EV-CON-e2.concat_minus_question_only.train_250k
