slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
E8A/A0p/train_40k/structural:choose/accuracy,E8A,A0p,40k,structural,structural:choose,accuracy on the structural slice choose,g21_pinned_normalised_exact_match,0.62572,"[0.60375, 0.64822]",1042,465,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.structural-choose.accuracy
E8A/A0p/train_40k/structural:compare/accuracy,E8A,A0p,40k,structural,structural:compare,accuracy on the structural slice compare,g21_pinned_normalised_exact_match,0.60375,"[0.56250, 0.64422]",302,226,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.structural-compare.accuracy
E8A/A0p/train_40k/structural:logical/accuracy,E8A,A0p,40k,structural,structural:logical,accuracy on the structural slice logical,g21_pinned_normalised_exact_match,0.60518,"[0.58479, 0.62612]",1236,561,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.structural-logical.accuracy
E8A/A0p/train_40k/structural:query/accuracy,E8A,A0p,40k,structural,structural:query,accuracy on the structural slice query,g21_pinned_normalised_exact_match,0.47541,"[0.45461, 0.49810]",3104,687,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.structural-query.accuracy
E8A/A0p/train_40k/structural:verify/accuracy,E8A,A0p,40k,structural,structural:verify,accuracy on the structural slice verify,g21_pinned_normalised_exact_match,0.54729,"[0.53109, 0.56323]",2030,615,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.structural-verify.accuracy
E8A/A1/train_40k/structural:choose/accuracy,E8A,A1,40k,structural,structural:choose,accuracy on the structural slice choose,g21_pinned_normalised_exact_match,0.60781,"[0.58279, 0.63309]",1042,465,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.structural-choose.accuracy
E8A/A1/train_40k/structural:compare/accuracy,E8A,A1,40k,structural,structural:compare,accuracy on the structural slice compare,g21_pinned_normalised_exact_match,0.60927,"[0.56902, 0.64955]",302,226,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.structural-compare.accuracy
E8A/A1/train_40k/structural:logical/accuracy,E8A,A1,40k,structural,structural:logical,accuracy on the structural slice logical,g21_pinned_normalised_exact_match,0.56499,"[0.54507, 0.58542]",1236,561,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.structural-logical.accuracy
E8A/A1/train_40k/structural:query/accuracy,E8A,A1,40k,structural,structural:query,accuracy on the structural slice query,g21_pinned_normalised_exact_match,0.47025,"[0.44792, 0.49339]",3104,687,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.structural-query.accuracy
E8A/A1/train_40k/structural:verify/accuracy,E8A,A1,40k,structural,structural:verify,accuracy on the structural slice verify,g21_pinned_normalised_exact_match,0.54302,"[0.52558, 0.55872]",2030,615,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.structural-verify.accuracy
E8A/A1r/train_40k/structural:choose/accuracy,E8A,A1r,40k,structural,structural:choose,accuracy on the structural slice choose,g21_pinned_normalised_exact_match,0.48305,"[0.45862, 0.50734]",1042,465,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.structural-choose.accuracy
E8A/A1r/train_40k/structural:compare/accuracy,E8A,A1r,40k,structural,structural:compare,accuracy on the structural slice compare,g21_pinned_normalised_exact_match,0.58278,"[0.54637, 0.61939]",302,226,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.structural-compare.accuracy
E8A/A1r/train_40k/structural:logical/accuracy,E8A,A1r,40k,structural,structural:logical,accuracy on the structural slice logical,g21_pinned_normalised_exact_match,0.53910,"[0.51933, 0.55869]",1236,561,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.structural-logical.accuracy
E8A/A1r/train_40k/structural:query/accuracy,E8A,A1r,40k,structural,structural:query,accuracy on the structural slice query,g21_pinned_normalised_exact_match,0.44384,"[0.42288, 0.46370]",3104,687,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.structural-query.accuracy
E8A/A1r/train_40k/structural:verify/accuracy,E8A,A1r,40k,structural,structural:verify,accuracy on the structural slice verify,g21_pinned_normalised_exact_match,0.52200,"[0.50748, 0.53561]",2030,615,NOT_APPLICABLE,EV-SLC-E8A.A1r.train_40k.structural-verify.accuracy
