presentation,system,experiment family,timing class,node,precision,batch size,warm median serial latency (ms),comparable with end-to-end,evidence status,accuracy pairing,evidence id
"Main text, node otter155 (E7b): authoritative END_TO_END_SERIAL evidence",concat,E7b,END_TO_END_SERIAL,otter155.eps.surrey.ac.uk,fp32 inference,1,7.6104,true,VERIFIED,RESOLVED,EV-EFF-E7b.concat
"Main text, node otter155 (E7b): authoritative END_TO_END_SERIAL evidence",e8a_a0p,E7b,END_TO_END_SERIAL,otter155.eps.surrey.ac.uk,fp32 inference,1,9.2117,true,VERIFIED,RESOLVED,EV-EFF-E7b.e8a_a0p
"Main text, node otter155 (E7b): authoritative END_TO_END_SERIAL evidence",e8a_a1,E7b,END_TO_END_SERIAL,otter155.eps.surrey.ac.uk,fp32 inference,1,20.1460,true,VERIFIED,RESOLVED,EV-EFF-E7b.e8a_a1
"Main text, node otter155 (E7b): authoritative END_TO_END_SERIAL evidence",fusion,E7b,END_TO_END_SERIAL,otter155.eps.surrey.ac.uk,fp32 inference,1,7.6351,true,VERIFIED,RESOLVED,EV-EFF-E7b.fusion
"Main text, node otter155 (E7b): authoritative END_TO_END_SERIAL evidence",question_only,E7b,END_TO_END_SERIAL,otter155.eps.surrey.ac.uk,fp32 inference,1,1.9603,true,VERIFIED,RESOLVED,EV-EFF-E7b.question_only
"Main text, node otter155 (E7b): authoritative END_TO_END_SERIAL evidence",reasoner,E7b,END_TO_END_SERIAL,otter155.eps.surrey.ac.uk,fp32 inference,1,9.1719,true,VERIFIED,RESOLVED,EV-EFF-E7b.reasoner
"Main text, node otter155 (E7b): authoritative END_TO_END_SERIAL evidence",siglip_fusion,E7b,END_TO_END_SERIAL,otter155.eps.surrey.ac.uk,fp32 inference,1,9.8433,true,VERIFIED,RESOLVED,EV-EFF-E7b.siglip_fusion
"Main text, node otter155 (E7b): authoritative END_TO_END_SERIAL evidence",vocab1000_product,E7b,END_TO_END_SERIAL,otter155.eps.surrey.ac.uk,fp32 inference,1,7.6708,true,VERIFIED,RESOLVED,EV-EFF-E7b.vocab1000_product
"Main text, node otter159 (E9): authoritative END_TO_END_SERIAL evidence. Never merged with otter155",e8b_B1,E9,END_TO_END_SERIAL,otter159.eps.surrey.ac.uk,fp32 inference,1,10.2420,true,VERIFIED,PAIRING_UNRESOLVED,EV-EFF-E9.e8b_B1
"Main text, node otter159 (E9): authoritative END_TO_END_SERIAL evidence. Never merged with otter155",e8b_B2_R2,E9,END_TO_END_SERIAL,otter159.eps.surrey.ac.uk,fp32 inference,1,39.7326,true,VERIFIED,PAIRING_UNRESOLVED,EV-EFF-E9.e8b_B2_R2
"Main text, node otter159 (E9): authoritative END_TO_END_SERIAL evidence. Never merged with otter155",e8b_B2_R3,E9,END_TO_END_SERIAL,otter159.eps.surrey.ac.uk,fp32 inference,1,39.2394,true,VERIFIED,PAIRING_UNRESOLVED,EV-EFF-E9.e8b_B2_R3
"Main text, node otter159 (E9): authoritative END_TO_END_SERIAL evidence. Never merged with otter155",e8b_B3_R2,E9,END_TO_END_SERIAL,otter159.eps.surrey.ac.uk,fp32 inference,1,39.6561,true,VERIFIED,PAIRING_UNRESOLVED,EV-EFF-E9.e8b_B3_R2
"Main text, node otter159 (E9): authoritative END_TO_END_SERIAL evidence. Never merged with otter155",e8b_B3_R3,E9,END_TO_END_SERIAL,otter159.eps.surrey.ac.uk,fp32 inference,1,38.7963,true,VERIFIED,PAIRING_UNRESOLVED,EV-EFF-E9.e8b_B3_R3
"Main text, node otter159 (E9): authoritative END_TO_END_SERIAL evidence. Never merged with otter155",e9_256m_constrained,E9,END_TO_END_SERIAL,otter159.eps.surrey.ac.uk,fp32 inference,1,142.6747,true,VERIFIED,RESOLVED,EV-EFF-E9.e9_256m_constrained
"Main text, node otter159 (E9): authoritative END_TO_END_SERIAL evidence. Never merged with otter155",e9_256m_open,E9,END_TO_END_SERIAL,otter159.eps.surrey.ac.uk,fp32 inference,1,140.9070,true,VERIFIED,RESOLVED,EV-EFF-E9.e9_256m_open
"Main text, node otter159 (E9): authoritative END_TO_END_SERIAL evidence. Never merged with otter155",e9_500m_constrained,E9,END_TO_END_SERIAL,otter159.eps.surrey.ac.uk,fp32 inference,1,152.8540,true,VERIFIED,RESOLVED,EV-EFF-E9.e9_500m_constrained
"Main text, node otter159 (E9): authoritative END_TO_END_SERIAL evidence. Never merged with otter155",e9_500m_open,E9,END_TO_END_SERIAL,otter159.eps.surrey.ac.uk,fp32 inference,1,151.3801,true,VERIFIED,RESOLVED,EV-EFF-E9.e9_500m_open
"Main text, node otter159 (E9): authoritative END_TO_END_SERIAL evidence. Never merged with otter155",fusion,E9,END_TO_END_SERIAL,otter159.eps.surrey.ac.uk,fp32 inference,1,6.2081,true,VERIFIED,PAIRING_UNRESOLVED,EV-EFF-E9.fusion
"Main text, node otter159 (E9): authoritative END_TO_END_SERIAL evidence. Never merged with otter155",vocab1000_product,E9,END_TO_END_SERIAL,otter159.eps.surrey.ac.uk,fp32 inference,1,6.1990,true,VERIFIED,PAIRING_UNRESOLVED,EV-EFF-E9.vocab1000_product
"Retained in full: cached, component and superseded rows, which support no end-to-end latency claim",concat::cached_feature_head_only,E7b,CACHED_FEATURE_HEAD_ONLY,otter155.eps.surrey.ac.uk,fp32 inference,1,not bound in VE-0,false,VERIFIED,NOT_APPLICABLE,EV-EFF-E7b.concat.cached_feature_head_only
"Retained in full: cached, component and superseded rows, which support no end-to-end latency claim",concat::cached_image_question_side,E7b,CACHED_IMAGE_QUESTION_SIDE,otter155.eps.surrey.ac.uk,fp32 inference,1,not bound in VE-0,false,VERIFIED,NOT_APPLICABLE,EV-EFF-E7b.concat.cached_image_question_side
"Retained in full: cached, component and superseded rows, which support no end-to-end latency claim",e7a_additive_pipeline_sums,E7a,ADDITIVE_COMPONENT_SUM_SUPERSEDED,otter (E7a session),fp32 inference,1,not bound in VE-0,false,SUPERSEDED_FOR_END_TO_END_CLAIMS,NOT_APPLICABLE,EV-EFF-E7a.e7a_additive_pipeline_sums
"Retained in full: cached, component and superseded rows, which support no end-to-end latency claim",e7a_component_measurements,E7a,COMPONENT,otter (E7a session),fp32 inference,1,not bound in VE-0,false,VERIFIED_AS_COMPONENTS,NOT_APPLICABLE,EV-EFF-E7a.e7a_component_measurements
"Retained in full: cached, component and superseded rows, which support no end-to-end latency claim",e8a_a0p::cached_feature_head_only,E7b,CACHED_FEATURE_HEAD_ONLY,otter155.eps.surrey.ac.uk,fp32 inference,1,not bound in VE-0,false,VERIFIED,NOT_APPLICABLE,EV-EFF-E7b.e8a_a0p.cached_feature_head_only
"Retained in full: cached, component and superseded rows, which support no end-to-end latency claim",e8a_a0p::cached_image_question_side,E7b,CACHED_IMAGE_QUESTION_SIDE,otter155.eps.surrey.ac.uk,fp32 inference,1,not bound in VE-0,false,VERIFIED,NOT_APPLICABLE,EV-EFF-E7b.e8a_a0p.cached_image_question_side
"Retained in full: cached, component and superseded rows, which support no end-to-end latency claim",e8a_a1::cached_feature_head_only,E7b,CACHED_FEATURE_HEAD_ONLY,otter155.eps.surrey.ac.uk,fp32 inference,1,not bound in VE-0,false,VERIFIED,NOT_APPLICABLE,EV-EFF-E7b.e8a_a1.cached_feature_head_only
"Retained in full: cached, component and superseded rows, which support no end-to-end latency claim",e8a_a1::cached_image_question_side,E7b,CACHED_IMAGE_QUESTION_SIDE,otter155.eps.surrey.ac.uk,fp32 inference,1,not bound in VE-0,false,VERIFIED,NOT_APPLICABLE,EV-EFF-E7b.e8a_a1.cached_image_question_side
"Retained in full: cached, component and superseded rows, which support no end-to-end latency claim",fusion::cached_feature_head_only,E7b,CACHED_FEATURE_HEAD_ONLY,otter155.eps.surrey.ac.uk,fp32 inference,1,not bound in VE-0,false,VERIFIED,NOT_APPLICABLE,EV-EFF-E7b.fusion.cached_feature_head_only
"Retained in full: cached, component and superseded rows, which support no end-to-end latency claim",fusion::cached_image_question_side,E7b,CACHED_IMAGE_QUESTION_SIDE,otter155.eps.surrey.ac.uk,fp32 inference,1,not bound in VE-0,false,VERIFIED,NOT_APPLICABLE,EV-EFF-E7b.fusion.cached_image_question_side
"Retained in full: cached, component and superseded rows, which support no end-to-end latency claim",question_only::cached_feature_head_only,E7b,CACHED_FEATURE_HEAD_ONLY,otter155.eps.surrey.ac.uk,fp32 inference,1,not bound in VE-0,false,VERIFIED,NOT_APPLICABLE,EV-EFF-E7b.question_only.cached_feature_head_only
"Retained in full: cached, component and superseded rows, which support no end-to-end latency claim",reasoner::cached_feature_head_only,E7b,CACHED_FEATURE_HEAD_ONLY,otter155.eps.surrey.ac.uk,fp32 inference,1,not bound in VE-0,false,VERIFIED,NOT_APPLICABLE,EV-EFF-E7b.reasoner.cached_feature_head_only
