slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
v2_02/concat/train_40k/structural:choose/accuracy,v2_02,concat,40k,structural,structural:choose,accuracy on the structural slice choose,v2_closed_vocab_top1_index_match,0.57697,"[0.55182, 0.60113]",1042,465,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.structural-choose.accuracy
v2_02/concat/train_40k/structural:compare/accuracy,v2_02,concat,40k,structural,structural:compare,accuracy on the structural slice compare,v2_closed_vocab_top1_index_match,0.57881,"[0.53597, 0.62451]",302,226,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.structural-compare.accuracy
v2_02/concat/train_40k/structural:logical/accuracy,v2_02,concat,40k,structural,structural:logical,accuracy on the structural slice logical,v2_closed_vocab_top1_index_match,0.57848,"[0.55481, 0.60342]",1236,561,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.structural-logical.accuracy
v2_02/concat/train_40k/structural:query/accuracy,v2_02,concat,40k,structural,structural:query,accuracy on the structural slice query,v2_closed_vocab_top1_index_match,0.47951,"[0.45676, 0.50277]",3104,687,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.structural-query.accuracy
v2_02/concat/train_40k/structural:verify/accuracy,v2_02,concat,40k,structural,structural:verify,accuracy on the structural slice verify,v2_closed_vocab_top1_index_match,0.52345,"[0.50607, 0.54061]",2030,615,NOT_APPLICABLE,EV-SLC-v2_02.concat.train_40k.structural-verify.accuracy
v2_02/fusion/train_40k/structural:choose/accuracy,v2_02,fusion,40k,structural,structural:choose,accuracy on the structural slice choose,v2_closed_vocab_top1_index_match,0.55393,"[0.52733, 0.58099]",1042,465,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.structural-choose.accuracy
v2_02/fusion/train_40k/structural:compare/accuracy,v2_02,fusion,40k,structural,structural:compare,accuracy on the structural slice compare,v2_closed_vocab_top1_index_match,0.55364,"[0.50779, 0.60206]",302,226,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.structural-compare.accuracy
v2_02/fusion/train_40k/structural:logical/accuracy,v2_02,fusion,40k,structural,structural:logical,accuracy on the structural slice logical,v2_closed_vocab_top1_index_match,0.61650,"[0.59179, 0.64201]",1236,561,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.structural-logical.accuracy
v2_02/fusion/train_40k/structural:query/accuracy,v2_02,fusion,40k,structural,structural:query,accuracy on the structural slice query,v2_closed_vocab_top1_index_match,0.48015,"[0.45799, 0.50385]",3104,687,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.structural-query.accuracy
v2_02/fusion/train_40k/structural:verify/accuracy,v2_02,fusion,40k,structural,structural:verify,accuracy on the structural slice verify,v2_closed_vocab_top1_index_match,0.56966,"[0.55042, 0.58836]",2030,615,NOT_APPLICABLE,EV-SLC-v2_02.fusion.train_40k.structural-verify.accuracy
