row id,family,system,scale,metric,seed set,per-seed accuracies,mean,"sd (training seeds, ddof=1)",range,high dispersion,checkpoint selection,evidence id
E10/B4/train_250k,E10,B4,250k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.59407,0.00830,not bound in VE-0,no,FIXED_EPOCH_22,EV-SEED-E10.B4.train_250k
E10/B4/train_40k,E10,B4,40k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.52636,0.00465,not bound in VE-0,no,FIXED_EPOCH_22,EV-SEED-E10.B4.train_40k
E10/B4r/train_250k,E10,B4r,250k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.59645,0.00343,not bound in VE-0,no,FIXED_EPOCH_22,EV-SEED-E10.B4r.train_250k
E10/B4r/train_40k,E10,B4r,40k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.53319,0.00474,not bound in VE-0,no,FIXED_EPOCH_22,EV-SEED-E10.B4r.train_40k
E2/concat/train_250k,E2,concat,250k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.59176,0.00261,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E2.concat.train_250k
E2/concat/train_40k,E2,concat,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.53938,0.00376,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E2.concat.train_40k
E2/fusion/train_250k,E2,fusion,250k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.59388,0.00317,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E2.fusion.train_250k
E2/fusion/train_40k,E2,fusion,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.55315,0.00249,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E2.fusion.train_40k
E2/product/train_250k,E2,product,250k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.59803,0.00355,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E2.product.train_250k
E2/product/train_40k,E2,product,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.55027,0.00245,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E2.product.train_40k
E2/question_only/train_250k,E2,question_only,250k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.50236,0.00449,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E2.question_only.train_250k
E2/question_only/train_40k,E2,question_only,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.46611,0.00215,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E2.question_only.train_40k
E3/concat/train_250k,E3,concat,250k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.49111,0.00176,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E3.concat.train_250k
E3/concat/train_40k,E3,concat,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.43262,0.00236,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E3.concat.train_40k
E3/fusion/train_250k,E3,fusion,250k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.49547,0.00232,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E3.fusion.train_250k
E3/fusion/train_40k,E3,fusion,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.44691,0.00254,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E3.fusion.train_40k
E3/product/train_250k,E3,product,250k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.49946,0.00248,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E3.product.train_250k
E3/product/train_40k,E3,product,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.44382,0.00218,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E3.product.train_40k
E3/question_only/train_250k,E3,question_only,250k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.40625,0.00359,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E3.question_only.train_250k
E3/question_only/train_40k,E3,question_only,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.36738,0.00084,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E3.question_only.train_40k
E8A/A0p/train_250k,E8A,A0p,250k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.59446,0.00030,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E8A.A0p.train_250k
E8A/A0p/train_40k,E8A,A0p,40k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.54044,0.00438,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E8A.A0p.train_40k
E8A/A1/train_250k,E8A,A1,250k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.57316,0.00153,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E8A.A1.train_250k
E8A/A1/train_40k,E8A,A1,40k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.52861,0.00296,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E8A.A1.train_40k
E8A/A1r/train_250k,E8A,A1r,250k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.52480,0.00487,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E8A.A1r.train_250k
E8A/A1r/train_40k,E8A,A1r,40k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.49041,0.00259,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-E8A.A1r.train_40k
E8B/B1/train_250k,E8B,B1,250k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.59394,0.00486,not bound in VE-0,no,FIXED_EPOCH_22,EV-SEED-E8B.B1.train_250k
E8B/B1/train_40k,E8B,B1,40k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.54507,0.00390,not bound in VE-0,no,FIXED_EPOCH_22,EV-SEED-E8B.B1.train_40k
E8B/B2/train_250k,E8B,B2,250k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.60086,0.00528,not bound in VE-0,no,FIXED_EPOCH_22,EV-SEED-E8B.B2.train_250k
E8B/B2/train_40k,E8B,B2,40k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.53392,0.00233,not bound in VE-0,no,FIXED_EPOCH_22,EV-SEED-E8B.B2.train_40k
E8B/B3/train_250k,E8B,B3,250k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.59610,0.00270,not bound in VE-0,no,FIXED_EPOCH_22,EV-SEED-E8B.B3.train_250k
E8B/B3/train_40k,E8B,B3,40k,g21_pinned_normalised_exact_match,"0, 1, 2",not bound in VE-0,0.50929,0.02795,not bound in VE-0,yes,FIXED_EPOCH_22,EV-SEED-E8B.B3.train_40k
v2_02/concat/train_40k,v2_02,concat,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.52398,0.00276,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_02.concat.train_40k
v2_02/fusion/train_40k,v2_02,fusion,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.53840,0.00218,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_02.fusion.train_40k
v2_02/image_only/train_40k,v2_02,image_only,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.23438,0.00033,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_02.image_only.train_40k
v2_02/question_only/train_40k,v2_02,question_only,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.45797,0.00290,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_02.question_only.train_40k
v2_03/concat_wide/train_40k,v2_03,concat_wide,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.53262,0.00259,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_03.concat_wide.train_40k
v2_03/fusion_narrow/train_40k,v2_03,fusion_narrow,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.53342,0.00139,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_03.fusion_narrow.train_40k
v2_04/difference_576k/train_40k,v2_04,difference_576k,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.53342,0.00107,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_04.difference_576k.train_40k
v2_04/difference_natural/train_40k,v2_04,difference_natural,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.53399,0.00026,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_04.difference_natural.train_40k
v2_04/product_576k/train_40k,v2_04,product_576k,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.53355,0.00312,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_04.product_576k.train_40k
v2_04/product_natural/train_40k,v2_04,product_natural,40k,v2_closed_vocab_top1_index_match,"0, 1, 2, 3, 42",not bound in VE-0,0.53671,0.00101,not bound in VE-0,no,BEST_ON_DEVELOPMENT,EV-SEED-v2_04.product_natural.train_40k
