row_id,family,arm,scale,seed_set,n_training_seeds,per_seed_accuracy,mean,sd_across_training_seeds_ddof1,min,max,range,high_seed_dispersion,metric,split,source_artefact
E10/B4/train_250k,E10,B4,train_250k,0 1 2,3,"{""0"": 0.60215, ""1"": 0.58556, ""2"": 0.5945}",0.59407,0.0083,0.58556,0.60215,0.01659,False,G21 pinned normalised exact match,"v2 dev (7,714 rows, 768 images)",results/experiments/e10_capacity_360m_core/e10_core_analysis.json
E10/B4/train_40k,E10,B4,train_40k,0 1 2,3,"{""0"": 0.52515, ""1"": 0.5315, ""2"": 0.52243}",0.52636,0.00465,0.52243,0.5315,0.00907,False,G21 pinned normalised exact match,"v2 dev (7,714 rows, 768 images)",results/experiments/e10_capacity_360m_core/e10_core_analysis.json
E10/B4r/train_250k,E10,B4r,train_250k,0 1 2,3,"{""0"": 0.59256, ""1"": 0.59774, ""2"": 0.59904}",0.59645,0.00343,0.59256,0.59904,0.00648,False,G21 pinned normalised exact match,"v2 dev (7,714 rows, 768 images)",results/experiments/e10_capacity_360m_core/e10_core_analysis.json
E10/B4r/train_40k,E10,B4r,train_40k,0 1 2,3,"{""0"": 0.53474, ""1"": 0.52787, ""2"": 0.53695}",0.53319,0.00474,0.52787,0.53695,0.00908,False,G21 pinned normalised exact match,"v2 dev (7,714 rows, 768 images)",results/experiments/e10_capacity_360m_core/e10_core_analysis.json
E2/concat/train_250k,E2,concat,train_250k,0 1 2 3 42,5,"{""0"": 0.59411, ""1"": 0.59502, ""2"": 0.59023, ""3"": 0.58932, ""42"": 0.5901}",0.59176,0.00261,0.58932,0.59502,0.0057,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images), SigLIP store",results/experiments/e2_siglip/results.json
E2/concat/train_40k,E2,concat,train_40k,0 1 2 3 42,5,"{""0"": 0.53785, ""1"": 0.54071, ""2"": 0.54187, ""3"": 0.53358, ""42"": 0.54291}",0.53938,0.00376,0.53358,0.54291,0.00933,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images), SigLIP store",results/experiments/e2_siglip/results.json
E2/fusion/train_250k,E2,fusion,train_250k,0 1 2 3 42,5,"{""0"": 0.59386, ""1"": 0.59774, ""2"": 0.59619, ""3"": 0.5901, ""42"": 0.59152}",0.59388,0.00317,0.5901,0.59774,0.00764,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images), SigLIP store",results/experiments/e2_siglip/results.json
E2/fusion/train_40k,E2,fusion,train_40k,0 1 2 3 42,5,"{""0"": 0.54991, ""1"": 0.55522, ""2"": 0.55185, ""3"": 0.55276, ""42"": 0.556}",0.55315,0.00249,0.54991,0.556,0.00609,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images), SigLIP store",results/experiments/e2_siglip/results.json
E2/product/train_250k,E2,product,train_250k,0 1 2 3 42,5,"{""0"": 0.59904, ""1"": 0.59204, ""2"": 0.60137, ""3"": 0.59956, ""42"": 0.59813}",0.59803,0.00355,0.59204,0.60137,0.00933,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images), SigLIP store",results/experiments/e2_siglip/results.json
E2/product/train_40k,E2,product,train_40k,0 1 2 3 42,5,"{""0"": 0.55341, ""1"": 0.54926, ""2"": 0.55121, ""3"": 0.55069, ""42"": 0.5468}",0.55027,0.00245,0.5468,0.55341,0.00661,False,v2_closed_vocab_top1_index_match,"v2 dev (7,714 rows, 768 images), SigLIP store",results/experiments/e2_siglip/results.json
