slice_id,family,arm,scale,slice_kind,slice,quantity,point_estimate,ci95_image_clustered,n_questions,n_unique_images,cluster_unit,counts_provenance,n_resamples,rng_seed,training_seeds,across_training_seed_sd_ddof1,metric,analysis_role,comparison_status,source
E8A/A0p/train_250k/semantic:attr/accuracy,E8A,A0p,train_250k,semantic,attr,accuracy,0.51395,0.50017 0.52779,2964,691,represented development imageId,INFERENCE,2000,0,0 1 2,0.00152,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/semantic:cat/accuracy,E8A,A0p,train_250k,semantic,cat,accuracy,0.63857,0.58923 0.68417,439,219,represented development imageId,INFERENCE,2000,0,0 1 2,0.01517,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/semantic:global/accuracy,E8A,A0p,train_250k,semantic,global,accuracy,0.8589,0.81045 0.90389,163,133,represented development imageId,INFERENCE,2000,0,0 1 2,0.01623,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/semantic:obj/accuracy,E8A,A0p,train_250k,semantic,obj,accuracy,0.72108,0.70117 0.74087,1170,547,represented development imageId,INFERENCE,2000,0,0 1 2,0.00522,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/semantic:rel/accuracy,E8A,A0p,train_250k,semantic,rel,accuracy,0.60387,0.58426 0.62269,2978,570,represented development imageId,INFERENCE,2000,0,0 1 2,0.00097,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/steps:3/accuracy,E8A,A0p,train_250k,steps,3,accuracy,0.55536,0.53992 0.57135,3330,658,represented development imageId,INFERENCE,2000,0,0 1 2,0.00796,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/steps:4/accuracy,E8A,A0p,train_250k,steps,4,accuracy,0.5728,0.54215 0.60215,870,396,represented development imageId,INFERENCE,2000,0,0 1 2,0.02018,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/steps:<=2/accuracy,E8A,A0p,train_250k,steps,<=2,accuracy,0.60097,0.58492 0.61661,2400,674,represented development imageId,INFERENCE,2000,0,0 1 2,0.00347,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/steps:>=5/accuracy,E8A,A0p,train_250k,steps,>=5,accuracy,0.71424,0.69256 0.7358,1114,531,represented development imageId,INFERENCE,2000,0,0 1 2,0.00226,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/structural:choose/accuracy,E8A,A0p,train_250k,structural,choose,accuracy,0.67115,0.64953 0.69314,1042,465,represented development imageId,INFERENCE,2000,0,0 1 2,0.01153,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/structural:compare/accuracy,E8A,A0p,train_250k,structural,compare,accuracy,0.59934,0.56311 0.63574,302,226,represented development imageId,INFERENCE,2000,0,0 1 2,0.01194,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/structural:logical/accuracy,E8A,A0p,train_250k,structural,logical,accuracy,0.69552,0.67546 0.71566,1236,561,represented development imageId,INFERENCE,2000,0,0 1 2,0.01024,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/structural:query/accuracy,E8A,A0p,train_250k,structural,query,accuracy,0.51847,0.49685 0.5405,3104,687,represented development imageId,INFERENCE,2000,0,0 1 2,0.01209,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_250k/structural:verify/accuracy,E8A,A0p,train_250k,structural,verify,accuracy,0.60903,0.59372 0.6242,2030,615,represented development imageId,INFERENCE,2000,0,0 1 2,0.00828,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/semantic:attr/accuracy,E8A,A0p,train_40k,semantic,attr,accuracy,0.48201,0.46877 0.496,2964,691,represented development imageId,INFERENCE,2000,0,0 1 2,0.00624,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/semantic:cat/accuracy,E8A,A0p,train_40k,semantic,cat,accuracy,0.58466,0.53364 0.63377,439,219,represented development imageId,INFERENCE,2000,0,0 1 2,0.02338,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/semantic:global/accuracy,E8A,A0p,train_40k,semantic,global,accuracy,0.81595,0.76534 0.8667,163,133,represented development imageId,INFERENCE,2000,0,0 1 2,0.01063,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/semantic:obj/accuracy,E8A,A0p,train_40k,semantic,obj,accuracy,0.62194,0.60143 0.64301,1170,547,represented development imageId,INFERENCE,2000,0,0 1 2,0.0168,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/semantic:rel/accuracy,E8A,A0p,train_40k,semantic,rel,accuracy,0.545,0.52537 0.56501,2978,570,represented development imageId,INFERENCE,2000,0,0 1 2,0.02182,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/steps:3/accuracy,E8A,A0p,train_40k,steps,3,accuracy,0.50731,0.49094 0.52392,3330,658,represented development imageId,INFERENCE,2000,0,0 1 2,0.00313,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/steps:4/accuracy,E8A,A0p,train_40k,steps,4,accuracy,0.53295,0.50381 0.56314,870,396,represented development imageId,INFERENCE,2000,0,0 1 2,0.03035,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/steps:<=2/accuracy,E8A,A0p,train_40k,steps,<=2,accuracy,0.55125,0.53467 0.56767,2400,674,represented development imageId,INFERENCE,2000,0,0 1 2,0.00711,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/steps:>=5/accuracy,E8A,A0p,train_40k,steps,>=5,accuracy,0.62208,0.60188 0.64383,1114,531,represented development imageId,INFERENCE,2000,0,0 1 2,0.01855,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/structural:choose/accuracy,E8A,A0p,train_40k,structural,choose,accuracy,0.62572,0.60375 0.64822,1042,465,represented development imageId,INFERENCE,2000,0,0 1 2,0.0158,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/structural:compare/accuracy,E8A,A0p,train_40k,structural,compare,accuracy,0.60375,0.5625 0.64422,302,226,represented development imageId,INFERENCE,2000,0,0 1 2,0.03978,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/structural:logical/accuracy,E8A,A0p,train_40k,structural,logical,accuracy,0.60518,0.58479 0.62612,1236,561,represented development imageId,INFERENCE,2000,0,0 1 2,0.01624,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/structural:query/accuracy,E8A,A0p,train_40k,structural,query,accuracy,0.47541,0.45461 0.4981,3104,687,represented development imageId,INFERENCE,2000,0,0 1 2,0.01202,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A0p/train_40k/structural:verify/accuracy,E8A,A0p,train_40k,structural,verify,accuracy,0.54729,0.53109 0.56323,2030,615,represented development imageId,INFERENCE,2000,0,0 1 2,0.01234,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/semantic:attr/accuracy,E8A,A1,train_250k,semantic,attr,accuracy,0.50124,0.48818 0.51424,2964,691,represented development imageId,INFERENCE,2000,0,0 1 2,0.01282,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/semantic:cat/accuracy,E8A,A1,train_250k,semantic,cat,accuracy,0.61731,0.56674 0.66594,439,219,represented development imageId,INFERENCE,2000,0,0 1 2,0.02762,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
E8A/A1/train_250k/semantic:global/accuracy,E8A,A1,train_250k,semantic,global,accuracy,0.86094,0.81687 0.90357,163,133,represented development imageId,INFERENCE,2000,0,0 1 2,0.00937,G21 pinned normalised exact match,DIAGNOSTIC,DESCRIPTIVE_ONLY,results/experiments/e8a_question_encoder/core_analysis_g21.json
