evidence_id,evidence_class,experiment_family,story_stage,scientific_role,source_key,quantity,canonical_source_path,canonical_source_sha256,split,training_scale,model_system,seed_set,n_training_seeds,point_estimate,across_training_seed_sd_ddof1,ci95,ci_type,cluster_unit,n_questions,n_unique_images,answer_set_size,metric_id,analysis_role,comparison_class,evidence_readiness,checkpoint_selection,excludes_zero,proposed_figure_use,proposed_table_use,proposed_dissertation_section,proposed_supervisor_slide,appendix_destination,mandatory_limitation
EV-ARM-e2.concat.train_250k,ARM,e2,S09_REPRESENTATION_QUALITY,CORE,e2/concat/train_250k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_250k,concat,0|1|2|3|42,5,0.59176,0.00261,0.57991|0.60283,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,VE0-TAB-A3,R_APPENDIX_REPRESENTATION,,VE0-TAB-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Representation quality is not isolated: encoder, embedding width (512 against 768) and head input width all move together. The training streams are not paired and the seed label does not pair two runs. At train_250k no clustered contrast exists, because the CLIP partner is the stopped v2_07 family."
EV-ARM-e2.concat.train_40k,ARM,e2,S09_REPRESENTATION_QUALITY,CORE,e2/concat/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,concat,0|1|2|3|42,5,0.53938,0.00376,0.52831|0.55158,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,VE0-TAB-A3,R_APPENDIX_REPRESENTATION,,VE0-TAB-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Representation quality is not isolated: encoder, embedding width (512 against 768) and head input width all move together. The training streams are not paired and the seed label does not pair two runs. At train_250k no clustered contrast exists, because the CLIP partner is the stopped v2_07 family."
EV-ARM-e2.fusion.train_250k,ARM,e2,S09_REPRESENTATION_QUALITY,CORE,e2/fusion/train_250k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_250k,fusion,0|1|2|3|42,5,0.59388,0.00317,0.58229|0.60529,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,VE0-TAB-A3,R_APPENDIX_REPRESENTATION,,VE0-TAB-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Representation quality is not isolated: encoder, embedding width (512 against 768) and head input width all move together. The training streams are not paired and the seed label does not pair two runs. At train_250k no clustered contrast exists, because the CLIP partner is the stopped v2_07 family."
EV-ARM-e2.fusion.train_40k,ARM,e2,S09_REPRESENTATION_QUALITY,CORE,e2/fusion/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,fusion,0|1|2|3|42,5,0.55315,0.00249,0.54183|0.56511,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,VE0-TAB-A3,R_APPENDIX_REPRESENTATION,,VE0-TAB-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Representation quality is not isolated: encoder, embedding width (512 against 768) and head input width all move together. The training streams are not paired and the seed label does not pair two runs. At train_250k no clustered contrast exists, because the CLIP partner is the stopped v2_07 family."
EV-ARM-e2.product.train_250k,ARM,e2,S09_REPRESENTATION_QUALITY,CORE,e2/product/train_250k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_250k,product,0|1|2|3|42,5,0.59803,0.00355,0.58638|0.60924,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,VE0-TAB-A3,R_APPENDIX_REPRESENTATION,,VE0-TAB-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Representation quality is not isolated: encoder, embedding width (512 against 768) and head input width all move together. The training streams are not paired and the seed label does not pair two runs. At train_250k no clustered contrast exists, because the CLIP partner is the stopped v2_07 family."
EV-ARM-e2.product.train_40k,ARM,e2,S09_REPRESENTATION_QUALITY,CORE,e2/product/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,product,0|1|2|3|42,5,0.55027,0.00245,0.53918|0.56197,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,VE0-TAB-A3,R_APPENDIX_REPRESENTATION,,VE0-TAB-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Representation quality is not isolated: encoder, embedding width (512 against 768) and head input width all move together. The training streams are not paired and the seed label does not pair two runs. At train_250k no clustered contrast exists, because the CLIP partner is the stopped v2_07 family."
EV-ARM-e2.question_only.train_250k,ARM,e2,S09_REPRESENTATION_QUALITY,CORE,e2/question_only/train_250k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_250k,question_only,0|1|2|3|42,5,0.50236,0.00449,0.4918|0.51268,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,VE0-TAB-A3,R_APPENDIX_REPRESENTATION,,VE0-TAB-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Representation quality is not isolated: encoder, embedding width (512 against 768) and head input width all move together. The training streams are not paired and the seed label does not pair two runs. At train_250k no clustered contrast exists, because the CLIP partner is the stopped v2_07 family."
EV-ARM-e2.question_only.train_40k,ARM,e2,S09_REPRESENTATION_QUALITY,CORE,e2/question_only/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_dev,train_40k,question_only,0|1|2|3|42,5,0.46611,0.00215,0.45494|0.47711,"evaluation-sampling, image-clustered",represented development imageId,7714,768,100,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,,VE0-TAB-A3,R_APPENDIX_REPRESENTATION,,VE0-TAB-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Representation quality is not isolated: encoder, embedding width (512 against 768) and head input width all move together. The training streams are not paired and the seed label does not pair two runs. At train_250k no clustered contrast exists, because the CLIP partner is the stopped v2_07 family."
EV-ARM-e3.concat.train_250k,ARM,e3,S00_OFF_SEQUENCE,APPENDIX,e3/concat/train_250k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_1000_dev,train_250k,concat,0|1|2|3|42,5,0.49111,0.00176,0.47957|0.50229,"evaluation-sampling, image-clustered",represented development imageId,9823,776,1000,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,VE0-FIG-A3,,R_APPENDIX_ANSWER_SET,,VE0-FIG-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Top-100 and top-1000 results are never paired: different development rows (7,714 against 9,823), a different class count and different training rows. Class competition and the smaller head-answer share of a fixed budget are confounded."
EV-ARM-e3.concat.train_40k,ARM,e3,S00_OFF_SEQUENCE,APPENDIX,e3/concat/train_40k,"system accuracy on the development split, with an image-clustered evaluation interval",results/closure/reconstructed_statistics.json,88edeaf6ec787d754c8b0e006e00556895ea69dd8cbd215f391265c9e9643097,v2_1000_dev,train_40k,concat,0|1|2|3|42,5,0.43262,0.00236,0.42139|0.44438,"evaluation-sampling, image-clustered",represented development imageId,9823,776,1000,v2_closed_vocab_top1_index_match,SECONDARY,DESCRIPTIVE_ONLY,READY,best development epoch,true,VE0-FIG-A3,,R_APPENDIX_ANSWER_SET,,VE0-FIG-A3,"Development-set result on one GQA subset. The clean test is embargoed and unread, so no held-out generalisation is claimed. Top-100 and top-1000 results are never paired: different development rows (7,714 against 9,823), a different class count and different training rows. Class competition and the smaller head-answer share of a fixed budget are confounded."
