slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
v3_02a/fusion/train_40k/steps:3/accuracy,v3_02a,fusion,40k,program length,steps:3,accuracy on the steps slice 3,v2_closed_vocab_top1_index_match,0.50312,"[0.48522, 0.52139]",3330,658,NOT_APPLICABLE,EV-SLC-v3_02a.fusion.train_40k.steps-3.accuracy
v3_02a/fusion/train_40k/steps:4/accuracy,v3_02a,fusion,40k,program length,steps:4,accuracy on the steps slice 4,v2_closed_vocab_top1_index_match,0.53425,"[0.50177, 0.56433]",870,396,NOT_APPLICABLE,EV-SLC-v3_02a.fusion.train_40k.steps-4.accuracy
v3_02a/fusion/train_40k/steps:>=4_combined/deficit,v3_02a,fusion,40k,program length,steps: at least 4,pooled at-least-4-step deficit on the steps slice at least 4 (combined),v2_closed_vocab_top1_index_match,0.09175,"[0.07548, 0.10771]",1984,not available,NOT_APPLICABLE,EV-SLC-v3_02a.fusion.train_40k.steps-ge4_combined.deficit
v3_02a/fusion/train_40k/steps:>=5/accuracy,v3_02a,fusion,40k,program length,steps: at least 5,accuracy on the steps slice at least 5,v2_closed_vocab_top1_index_match,0.62334,"[0.59772, 0.64960]",1114,531,NOT_APPLICABLE,EV-SLC-v3_02a.fusion.train_40k.steps-ge5.accuracy
v3_02a/fusion/train_40k/steps:<=2/accuracy,v3_02a,fusion,40k,program length,steps: at most 2,accuracy on the steps slice at most 2,v2_closed_vocab_top1_index_match,0.54942,"[0.53147, 0.56744]",2400,674,NOT_APPLICABLE,EV-SLC-v3_02a.fusion.train_40k.steps-le2.accuracy
v3_02a/product_576k/train_40k/steps:3/accuracy,v3_02a,product_576k,40k,program length,steps:3,accuracy on the steps slice 3,v2_closed_vocab_top1_index_match,0.50823,"[0.48935, 0.52559]",3330,658,NOT_APPLICABLE,EV-SLC-v3_02a.product_576k.train_40k.steps-3.accuracy
v3_02a/product_576k/train_40k/steps:4/accuracy,v3_02a,product_576k,40k,program length,steps:4,accuracy on the steps slice 4,v2_closed_vocab_top1_index_match,0.51540,"[0.48182, 0.54868]",870,396,NOT_APPLICABLE,EV-SLC-v3_02a.product_576k.train_40k.steps-4.accuracy
v3_02a/product_576k/train_40k/steps:>=4_combined/deficit,v3_02a,product_576k,40k,program length,steps: at least 4,pooled at-least-4-step deficit on the steps slice at least 4 (combined),v2_closed_vocab_top1_index_match,0.09784,"[0.08230, 0.11449]",1984,not available,NOT_APPLICABLE,EV-SLC-v3_02a.product_576k.train_40k.steps-ge4_combined.deficit
v3_02a/product_576k/train_40k/steps:>=5/accuracy,v3_02a,product_576k,40k,program length,steps: at least 5,accuracy on the steps slice at least 5,v2_closed_vocab_top1_index_match,0.61113,"[0.58418, 0.63618]",1114,531,NOT_APPLICABLE,EV-SLC-v3_02a.product_576k.train_40k.steps-ge5.accuracy
v3_02a/product_576k/train_40k/steps:<=2/accuracy,v3_02a,product_576k,40k,program length,steps: at most 2,accuracy on the steps slice at most 2,v2_closed_vocab_top1_index_match,0.53925,"[0.52139, 0.55702]",2400,674,NOT_APPLICABLE,EV-SLC-v3_02a.product_576k.train_40k.steps-le2.accuracy
v3_02a/reasoner/train_40k/steps:3/accuracy,v3_02a,reasoner,40k,program length,steps:3,accuracy on the steps slice 3,v2_closed_vocab_top1_index_match,0.50791,"[0.48967, 0.52502]",3330,658,NOT_APPLICABLE,EV-SLC-v3_02a.reasoner.train_40k.steps-3.accuracy
v3_02a/reasoner/train_40k/steps:4/accuracy,v3_02a,reasoner,40k,program length,steps:4,accuracy on the steps slice 4,v2_closed_vocab_top1_index_match,0.52605,"[0.49718, 0.55341]",870,396,NOT_APPLICABLE,EV-SLC-v3_02a.reasoner.train_40k.steps-4.accuracy
v3_02a/reasoner/train_40k/steps:>=4_combined/deficit,v3_02a,reasoner,40k,program length,steps: at least 4,pooled at-least-4-step deficit on the steps slice at least 4 (combined),v2_closed_vocab_top1_index_match,0.09795,"[0.08236, 0.11434]",1984,not available,NOT_APPLICABLE,EV-SLC-v3_02a.reasoner.train_40k.steps-ge4_combined.deficit
v3_02a/reasoner/train_40k/steps:>=5/accuracy,v3_02a,reasoner,40k,program length,steps: at least 5,accuracy on the steps slice at least 5,v2_closed_vocab_top1_index_match,0.62029,"[0.59971, 0.63998]",1114,531,NOT_APPLICABLE,EV-SLC-v3_02a.reasoner.train_40k.steps-ge5.accuracy
v3_02a/reasoner/train_40k/steps:<=2/accuracy,v3_02a,reasoner,40k,program length,steps: at most 2,accuracy on the steps slice at most 2,v2_closed_vocab_top1_index_match,0.55944,"[0.54307, 0.57576]",2400,674,NOT_APPLICABLE,EV-SLC-v3_02a.reasoner.train_40k.steps-le2.accuracy
