slice id,family,system,scale,slice kind,slice,quantity,metric,point estimate,95% CI (image-clustered),n questions,n images,counts provenance,evidence id
E8A/A0p/train_40k/semantic:attr/accuracy,E8A,A0p,40k,semantic,semantic:attr,accuracy on the semantic slice attr,g21_pinned_normalised_exact_match,0.48201,"[0.46877, 0.49600]",2964,691,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.semantic-attr.accuracy
E8A/A0p/train_40k/semantic:cat/accuracy,E8A,A0p,40k,semantic,semantic:cat,accuracy on the semantic slice cat,g21_pinned_normalised_exact_match,0.58466,"[0.53364, 0.63377]",439,219,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.semantic-cat.accuracy
E8A/A0p/train_40k/semantic:global/accuracy,E8A,A0p,40k,semantic,semantic:global,accuracy on the semantic slice global,g21_pinned_normalised_exact_match,0.81595,"[0.76534, 0.86670]",163,133,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.semantic-global.accuracy
E8A/A0p/train_40k/semantic:obj/accuracy,E8A,A0p,40k,semantic,semantic:obj,accuracy on the semantic slice obj,g21_pinned_normalised_exact_match,0.62194,"[0.60143, 0.64301]",1170,547,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.semantic-obj.accuracy
E8A/A0p/train_40k/semantic:rel/accuracy,E8A,A0p,40k,semantic,semantic:rel,accuracy on the semantic slice rel,g21_pinned_normalised_exact_match,0.54500,"[0.52537, 0.56501]",2978,570,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.semantic-rel.accuracy
E8A/A0p/train_40k/steps:3/accuracy,E8A,A0p,40k,program length,steps:3,accuracy on the steps slice 3,g21_pinned_normalised_exact_match,0.50731,"[0.49094, 0.52392]",3330,658,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.steps-3.accuracy
E8A/A0p/train_40k/steps:4/accuracy,E8A,A0p,40k,program length,steps:4,accuracy on the steps slice 4,g21_pinned_normalised_exact_match,0.53295,"[0.50381, 0.56314]",870,396,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.steps-4.accuracy
E8A/A0p/train_40k/steps:>=5/accuracy,E8A,A0p,40k,program length,steps: at least 5,accuracy on the steps slice at least 5,g21_pinned_normalised_exact_match,0.62208,"[0.60188, 0.64383]",1114,531,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.steps-ge5.accuracy
E8A/A0p/train_40k/steps:<=2/accuracy,E8A,A0p,40k,program length,steps: at most 2,accuracy on the steps slice at most 2,g21_pinned_normalised_exact_match,0.55125,"[0.53467, 0.56767]",2400,674,NOT_APPLICABLE,EV-SLC-E8A.A0p.train_40k.steps-le2.accuracy
E8A/A1/train_40k/semantic:attr/accuracy,E8A,A1,40k,semantic,semantic:attr,accuracy on the semantic slice attr,g21_pinned_normalised_exact_match,0.48032,"[0.46625, 0.49449]",2964,691,NOT_APPLICABLE,EV-SLC-E8A.A1.train_40k.semantic-attr.accuracy
