family,artefact,title,arms,scale,split,metric,stored_uncertainty,row_level,evidence,git_dirty_when_written,sha256,bytes
E10,results/experiments/e10_capacity_360m_core/e10_core_analysis.json,SmolLM2-360M answer-readout capacity matrix,"B4, B4r","train_40k, train_250k","v2 dev (7,714 rows, 768 images)",G21 pinned normalised exact match,"image-clustered bootstrap, 2000 draws, rng 0, plus a preregistration block (contrast set fixed before results, 0 post-hoc tests)",NPZ_STORED,VERIFIED,True,37ffdcd09aa2bcd306ca9b54229a1d0d17ff203b6b0900e09e5f876ad1ed0748,31033
E2,results/experiments/e2_siglip/results.json,frozen SigLIP-B/16 encoder swap,"question_only, concat, product, fusion","train_40k, train_250k","v2 dev (7,714 rows, 768 images), SigLIP store",v2_closed_vocab_top1_index_match,per-seed values and across-seed sd only,RECONSTRUCTED_BY_CLOSURE,VERIFIED,False,4c51f60890bdac967915aa96dbad08b676262f2dfa13b5d10bfebd46c5af0a96,188921
E3,results/experiments/e3_vocab1000/results.json,top-1000 answer vocabulary,"question_only, concat, product, fusion","train_40k, train_250k","E3 dev view (9,823 rows, 776 images)",v2_closed_vocab_top1_index_match,per-seed values and across-seed sd only,RECONSTRUCTED_BY_CLOSURE,VERIFIED,False,bbdf65f724ee89cc6078628cd85684ad64a06585b6d34bdf0638b364c2a52be6,194703
E7a,results/experiments/e7a_efficiency/results.json,component efficiency measurements,all stored heads plus both frozen encoders,n/a,"timing sample, not an accuracy split",latency and memory components,"component measurements valid; the additive gpu_encoder_plus_head_ms, full_pipeline_ms and amortised_ms fields and their Pareto fronts are SUPERSEDED for end-to-end claims by E7b",NOT_APPLICABLE,PARTLY_SUPERSEDED,False,368ba5c2a149953193cf237bdf77023c17b244540ef7b9bfac55cb5a7fdc1a85,99306
E7b,results/experiments/e7b_serial_efficiency/e7b_results.json,authoritative serial end-to-end efficiency,"question_only, concat, fusion, vocab1000_product, siglip_fusion, reasoner, e8a_a0p, e8a_a1",n/a,"timing sample, not an accuracy split","warm median serial latency, batch 1, raw image and question","three passes, across-pass spread reported; single node otter155",NOT_APPLICABLE,VERIFIED,False,c55d61600124ed76a6383f87d6f0a8744f4d51eec24b2f53ef8aa9edeb76bae4,26662
E8A,results/experiments/e8a_question_encoder/core_analysis_g21.json,frozen-SLM question-encoder core analysis,"A0p, A1, A1r","train_40k, train_250k","v2 dev (7,714 rows, 768 images)",G21 pinned normalised exact match,"102 image-clustered intervals, 2000 draws, rng 0, 768 clusters, multiplicity disclosed and uncorrected",NPZ_STORED,VERIFIED,True,9774bd5bf4ead561635327645397314a9cc4dd7262dccc20f9c184f73ef31562,81729
E8B,results/experiments/e8b_readout_generation/e8b_final_report_20260810.json,frozen-SLM answer-readout core matrix,"B1, B2, B3","train_40k, train_250k","v2 dev (7,714 in-vocabulary / 10,004 raw)",G21 pinned normalised exact match,"image-clustered bootstrap, 2000 draws, rng 0, 7,714 rows, 768 clusters, fixed-seed-set caveat on every interval",NPZ_STORED,VERIFIED,True,0ce63d09454b13b157dd2f58ebefad315c2903f9c1f097497652d7085d466138,68739
E9,results/experiments/e9_compact_vlm/e9_results.json,evaluation-only compact-VLM baselines,"SmolVLM-256M-Instruct, SmolVLM-500M-Instruct",n/a,"v2 dev raw (10,004 rows)",G21 pinned normalised exact match,image-clustered intervals on the paired contrasts; separate node otter159,NPZ_STORED,VERIFIED,True,5d42ae9344fa9d7bcd48589645d62b4d0c20db9a3d9d03288bbddd6832ae2caa,78181
v2_02,results/experiments/v2_02_multiseed/results.json,five-seed baseline and fusion accuracies,"question_only, image_only, concat, fusion",train_40k,"v2 dev (7,714 rows, 768 images)",v2_closed_vocab_top1_index_match,per-seed values and across-seed sd only,RECONSTRUCTED_BY_CLOSURE,VERIFIED,False,306c1d1bdf31e081c90ab57ef4474b7fc6aeb7c5b34af4697d52a84fd44a8e6d,85809
v2_03,results/experiments/v2_03_param_match/results.json,parameter-matched capacity controls,"concat_wide, fusion_narrow",train_40k,"v2 dev (7,714 rows, 768 images)",v2_closed_vocab_top1_index_match,per-seed values and across-seed sd only,RECONSTRUCTED_BY_CLOSURE,VERIFIED,False,9494f8a706b26dc82a66bb28280411acbd079991f353da8467248ac0c1947f92,45435
